cp,r,q,moneyness,days,sigma,european,american,premium,premium_pct,premium_bp,vega
call,0.0,0.04,1.15,91,0.4,14.923380877321058,15.134980466956499,0.21159958963544057,1.4179065144481218,142.1049806236739,14.890371097956386
call,0.0,0.04,1.15,365,0.2,12.735803611110782,13.98609123326403,1.2502876221532482,9.817108211864156,390.24270937233166,32.03871826751657
call,0.0,0.04,1.15,365,0.4,19.51101139006346,20.201438784270362,0.6904273942069032,3.538655072276382,199.2671965230532,34.64832176363899
call,0.0,0.04,1.15,730,0.2,12.980674744979048,15.048902645264615,2.0682279002855672,15.933130911284577,422.6016733739515,48.94036229845771
call,0.0,0.04,1.15,730,0.4,22.74761326148542,24.14222579164469,1.3946125301592716,6.13080816052261,288.7649898469775,48.29576227015281
call,0.0,0.08,0.85,30,0.2,0.0028315912545483213,0.002858040472462983,2.644921791466158e-5,0.9340761267070873,1.6555169369259926,0.1597641034332949
call,0.0,0.08,0.85,30,0.4,0.3844981384962427,0.3869148488918688,0.002416710395626076,0.6285363058135305,5.806091323924363,4.162370622156543
call,0.0,0.08,0.85,91,0.2,0.14280419760766438,0.14703868320801045,0.004234485600346061,2.9652388874308504,10.520494352454488,4.024987285277267
call,0.0,0.08,0.85,91,0.4,2.0945779018967556,2.13063986934365,0.03606196744689427,1.7216818440716946,25.716129338367583,14.02309304499066
call,0.0,0.08,0.85,365,0.2,1.135581341376728,1.27544068767883,0.13985934630210206,12.316101119849579,70.52195736699507,19.832028424037695
call,0.0,0.08,0.85,365,0.4,6.884687380921495,7.3088436202120945,0.42415623929059976,6.160864187762549,125.08507103504593,33.90942146659221
call,0.0,0.08,0.85,730,0.2,1.7816429451986835,2.2430117826840537,0.46136883748537016,25.895695808675047,158.03769236914167,29.193594930993612
call,0.0,0.08,0.85,730,0.4,9.816058404630077,11.01047126502346,1.194412860393383,12.167947776573923,258.90449335263776,46.133338395427046
call,0.0,0.08,1.0,30,0.2,1.966936229453296,2.020629176754688,0.05369294730139185,2.729775703827248,47.43019525093118,11.320414562353655
call,0.0,0.08,1.0,30,0.4,4.237231780690088,4.2851306116351395,0.04789883094505143,1.130427444713692,42.15569831277432,11.362362115239065
call,0.0,0.08,1.0,91,0.2,3.0339128081845104,3.221359383163279,0.1874465749787686,6.178377126498121,97.07953768763173,19.30855661693679
call,0.0,0.08,1.0,91,0.4,6.92786901829998,7.102257432218808,0.17438841391882853,2.5172013711313133,89.30903374635827,19.526402492954922
call,0.0,0.08,1.0,365,0.2,4.417467321901292,5.274032013862598,0.8565646919613066,19.39040245333696,243.29708916060315,35.20653267642995
call,0.0,0.08,1.0,365,0.4,11.697991480364209,12.598976071319758,0.9009845909555487,7.702045196971687,244.65317503435347,36.827014030332336
call,0.0,0.08,1.0,730,0.2,4.630320740903471,6.360771950309691,1.7304512094062199,37.3721672047404,393.8292020996785,43.93912894677224
call,0.0,0.08,1.0,730,0.4,14.02680720064399,16.05894316526152,2.032135964617531,14.487516193451585,422.683033390361,48.07706494196539
call,0.0,0.08,1.15,30,0.2,12.406342673204648,13.043478260869563,0.6371355876649147,5.1355633521312205,8901.914425100258,0.7157287266977284
call,0.0,0.08,1.15,30,0.4,13.03425431332748,13.298021650338148,0.2637673370106679,2.023647311691369,487.8570098133744,5.406652599120588
call,0.0,0.08,1.15,91,0.2,11.585738414185869,13.043478260869563,1.457739846683694,12.582191955057441,1630.0883340456965,8.942704614453298
call,0.0,0.08,1.15,91,0.4,14.171130668912468,14.681418734246225,0.5102880653337571,3.600898737411177,333.82979458260047,15.285875425582935
call,0.0,0.08,1.15,365,0.2,10.132647646922287,13.200393667884677,3.0677460209623906,30.275858076385344,901.9656246169111,34.011784232523766
call,0.0,0.08,1.15,365,0.4,17.04242918596826,18.65004709084035,1.6076179048720896,9.433032623047119,464.00907816303373,34.646259750703386
call,0.0,0.08,1.15,730,0.2,8.834956184651979,13.534665393012109,4.6997092083601295,53.19448235096434,979.9255554408109,47.95985962674488
call,0.0,0.08,1.15,730,0.4,18.312324874835703,21.41515039784988,3.102825523014179,16.94391915948366,665.3872637457617,46.63187427945329
call,0.02,0.0,0.85,30,0.2,0.004637785603518352,0.004637790925672585,5.3221542329479066e-9,0.00011475636624751204,0.00021999233170940288,0.24192453398685568
call,0.02,0.0,0.85,30,0.4,0.452327824595951,0.4523278577118709,3.311591989518803e-8,7.321221046874432e-6,7.1588415776174e-5,4.625876901470649
call,0.02,0.0,0.85,91,0.2,0.2645158782848158,0.2645159105542508,3.226943495748813e-8,1.2199432097131885e-5,5.202417067198879e-5,6.202777389945566
call,0.02,0.0,0.85,91,0.4,2.6417835824345985,2.64178356316405,-1.9270548712313484e-8,-7.294522095013647e-7,1.226474805297193e-5,15.712143966662197
call,0.02,0.0,0.85,365,0.2,2.9952064457531193,2.9952064136822596,-3.207085974565871e-8,-1.070739540879786e-6,9.698171504319894e-6,33.06897566347766
call,0.02,0.0,0.85,365,0.4,10.462739243803973,10.462739076146693,-1.6765728005907476e-7,-1.602422426405793e-6,4.25419123548659e-5,39.40990679040273
call,0.02,0.0,0.85,730,0.2,6.559736428584266,6.559736322693391,-1.0589087473533709e-7,-1.6142550221059819e-6,1.958467780585715e-5,54.068224039748316
call,0.02,0.0,0.85,730,0.4,17.743341767498308,17.7433415045657,-2.6293260901866233e-7,-1.4818663387316023e-6,4.6706001009112935e-5,56.29525186011126
call,0.02,0.0,1.0,30,0.2,2.3683354165525543,2.3683353873030386,-2.9249515698381856e-8,-1.2350242070423727e-6,2.561582380744073e-5,11.418534074194262
call,0.02,0.0,1.0,30,0.4,4.651260363344782,4.651260304917997,-5.8426785187748465e-8,-1.2561495298821112e-6,5.121571171902378e-5,11.407980720503426
call,0.02,0.0,1.0,91,0.2,4.226036775028518,4.2260367244014,-5.062711849745938e-8,-1.1979810208139453e-6,2.554255887666474e-5,19.820691709831575
call,0.02,0.0,1.0,91,0.4,8.186060684697942,8.186060583790384,-1.0090755786507088e-7,-1.2326754192489141e-6,5.105320318616461e-5,19.7651766329163
call,0.02,0.0,1.0,365,0.2,8.916037278572539,8.916037179911406,-9.866113259704434e-8,-1.1065580987884792e-6,2.5230271302099022e-5,39.104269397545586
call,0.02,0.0,1.0,365,0.4,16.704417199646805,16.704417005130328,-1.9451647759183288e-7,-1.164461323415376e-6,5.0305796919638746e-5,38.66681168028492
call,0.02,0.0,1.0,730,0.2,13.09565750290777,13.095657368391194,-1.345165756561073e-7,-1.0271845886794088e-6,2.4815470780220643e-5,54.206739355243165
call,0.02,0.0,1.0,730,0.4,23.847285309173003,23.847285047770278,-2.6140272524344255e-7,-1.0961529660690241e-6,4.932061148982884e-5,53.000706468805724
call,0.02,0.0,1.15,30,0.2,13.19818339795907,13.198183406316552,8.357481817711232e-9,6.332297078856784e-8,0.00016418125531015115,0.509039951115205
call,0.02,0.0,1.15,30,0.4,13.745566658199351,13.745566679926,2.1726648924413894e-8,1.5806295560360735e-7,4.367775212032979e-5,4.974305652121973
call,0.02,0.0,1.15,91,0.2,13.78088482143714,13.780884847300547,2.5863405639370285e-8,1.8767594370383191e-7,3.99569591547874e-5,6.472816296950738
call,0.02,0.0,1.15,91,0.4,16.013762052132,16.013762026173367,-2.5958634353173693e-8,-1.6210203616530992e-7,1.8308350272532037e-5,14.178576423742207
call,0.02,0.0,1.15,365,0.2,16.98301537515424,16.983015360166114,-1.4988124519277335e-8,-8.825361214242682e-8,5.626801019681908e-6,26.637026023935423
call,0.02,0.0,1.15,365,0.4,23.201682004064253,23.201681869041458,-1.3502279472277223e-7,-5.81952613173132e-7,4.0505596301677563e-5,33.334355509088056
call,0.02,0.0,1.15,730,0.2,20.544618678427533,20.544618624875838,-5.3551694634279556e-8,-2.6066044579601004e-7,1.2836247283246704e-5,41.71912043496765
call,0.02,0.0,1.15,730,0.4,29.657744080390053,29.657743876276797,-2.0411325607483377e-7,-6.882292042225665e-7,4.3329210670192884e-5,47.10754082932043
call,0.02,0.02,0.85,30,0.2,0.004206643379856323,0.004206821679554011,1.7829969768765747e-7,0.004238526577780579,0.007997232237408563,0.222951756801093
call,0.02,0.02,0.85,30,0.4,0.4378608955824177,0.43789828417152316,3.738858910545817e-5,0.008538919433699598,0.08254294783363197,4.529592180402389
call,0.02,0.02,0.85,91,0.2,0.23452812941988022,0.23458964523646852,6.151581658830896e-5,0.026229611237028206,0.1077041694819662,5.711553868730129
call,0.02,0.02,0.85,91,0.4,2.521640868076659,2.5227272617454717,0.0010863936688125797,0.04308280701530702,0.7071667407422305,15.362623921938393
