days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
182,put,1.0,0.02,0.02,2,true,7.473251045919776,36.677923281680826,36.422636917340526,0.04738298589733386
182,put,1.0,0.02,0.04,2,true,7.958684577338384,76.48401730477103,74.47345471502942,0.015652755641568566
182,put,1.0,0.1,0.02,2,true,7.455226026196487,30.14262450694914,30.308540412209982,0.02238541628537236
182,put,1.0,0.1,0.04,2,true,7.945198972667563,71.57389629710396,70.49619727599985,0.025982722742527886
182,put,1.0,0.2,0.02,2,true,7.408911740508976,13.351148294802341,14.041485901315601,0.06936762772893137
182,put,1.0,0.2,0.04,2,true,7.88923931278909,51.2072042330278,51.290602246818615,0.012027741672509322
182,put,1.1,0.02,0.02,2,true,3.571477884735006,23.48533771159013,23.28718479394691,0.19319372035619625
182,put,1.1,0.02,0.04,2,true,3.8702541316099706,47.495138365480244,45.98056262993098,0.1430499799676967
182,put,1.1,0.1,0.02,2,true,3.5729801100207124,24.14439619179353,24.27319411662962,0.13632964167862674
182,put,1.1,0.1,0.04,2,true,3.880734401056537,51.99319942549359,51.18123758793727,0.05556309077291003
182,put,1.1,0.2,0.02,2,true,3.5584460986729733,17.78556045153988,18.32153521202399,0.10429025483293898
182,put,1.1,0.2,0.04,2,true,3.8732490599745772,48.792426201514445,48.855280498206774,0.012309051604824105
365,call,0.9,0.02,0.02,4,true,7.642918399555951,22.92829779941021,21.650032691753704,0.05684647274103522
365,call,0.9,0.02,0.04,4,true,6.895642861562997,30.319159078222494,31.90802037285037,0.1373196722012485
365,call,0.9,0.1,0.02,4,true,7.662212282184416,27.92599832906644,25.9399941374837,0.05978996123926879
365,call,0.9,0.1,0.04,4,true,6.963586610441789,48.541029705231324,48.91760454402163,0.4903195088858698
365,call,0.9,0.2,0.02,4,true,7.739042612134334,47.830616732917214,44.963070862114854,0.7607278820209932
365,call,0.9,0.2,0.04,4,true,7.135977981455818,94.76485940927124,93.63101850152215,1.2326972926281639
365,call,1.0,0.02,0.02,4,true,11.895413066926048,24.012432396980746,22.283127597099966,0.0876768011995989
365,call,1.0,0.02,0.04,4,true,10.866853080365127,20.277060980225432,22.290028584811953,0.39219526696005425
365,call,1.0,0.1,0.02,4,true,11.916246357209026,29.45986298493043,26.77285019091934,0.09216793437258536
365,call,1.0,0.1,0.04,4,true,10.976464160868979,49.15465943690477,49.6319000558067,0.8329172583726657
365,call,1.0,0.2,0.02,4,true,12.036426217767348,60.885139367293235,57.00499369503071,1.319575614867015
365,call,1.0,0.2,0.04,4,true,11.213756641181641,111.66436038956638,110.22690747585207,2.0981011607064692
365,call,1.1,0.02,0.02,4,true,16.598360899097408,25.17490297106602,22.790477642963015,0.12418411279168597
365,call,1.1,0.02,0.04,4,true,15.34074451349066,3.712153529448424,6.252047895543116,0.7673126168391872
365,call,1.1,0.1,0.02,4,true,16.618557795624696,31.191804106765748,27.486446363325648,0.1310304264531663
365,call,1.1,0.1,0.04,4,true,15.495912252125466,49.14465164123856,49.746986560292676,1.3518775575079576
365,call,1.1,0.2,0.02,4,true,16.785904293549347,81.03964744166676,75.68821367120175,1.7577256928078964
365,call,1.1,0.2,0.04,4,true,15.786770009634782,134.32168503797794,132.50706538068653,2.460484557361997
365,put,0.9,0.02,0.02,4,true,16.944172451213053,46.45276141811186,47.650336925531064,0.4177125673568412
365,put,0.9,0.02,0.04,4,true,18.06135254562628,120.64535003365236,118.56976599235378,0.3833424961706916
365,put,0.9,0.1,0.02,4,true,16.879286738218536,29.632814647126516,31.492850719143014,0.383175803203084
365,put,0.9,0.1,0.04,4,true,17.9539092364507,91.78933938420211,91.29790880718524,0.29530537553724867
365,put,0.9,0.2,0.02,4,true,16.78521491232998,5.253312210173631,7.93799368862036,0.34320351856209436
365,put,0.9,0.2,0.04,4,true,17.791371163706664,48.166161524905974,49.644557225739746,0.20827847044824127
365,put,1.0,0.02,0.02,4,true,10.24706738217242,39.731048011118816,40.73398808174983,0.08116602286098411
365,put,1.0,0.02,0.04,4,true,11.162903836126244,98.28185952916571,96.62852996177818,0.14018980581671556
365,put,1.0,0.1,0.02,4,true,10.213233992654528,30.883160269949986,32.44097708061952,0.07435487371274
365,put,1.0,0.1,0.04,4,true,11.113436136263326,85.24228871717862,84.85063844291142,0.10545757005063885
