cp,days,divfrac,tfrac,moneyness,lattice,fd,absdiff,volbp
put,30,0.01,0.85,0.9,12.107697180063898,12.107687419204897,9.760859001062272e-6,0.02162497856956446
put,30,0.01,0.85,1.0,3.5679521818044995,3.5679105457408102,4.163606368923212e-5,0.03680558633703374
put,30,0.01,0.85,1.1,0.5346544573825819,0.5346475931128133,6.864269768591669e-6,0.011657161405289152
put,30,0.02,0.25,0.9,13.153827986525013,13.15385019518516,2.2208660148237414e-5,0.05949276449743063
put,30,0.02,0.25,1.0,4.117887368138999,4.117843878607631,4.3489531368123835e-5,0.03936680363381281
put,30,0.02,0.25,1.1,0.6711903326140771,0.6711905699740539,2.373599767846457e-7,0.00035515593098535354
put,30,0.02,0.6,0.9,13.094665744190024,13.094674808450607,9.064260583002692e-6,0.02427034090531824
put,30,0.02,0.6,1.0,4.1353230546088495,4.135287666697607,3.538791124224616e-5,0.03203085820952135
put,30,0.02,0.6,1.1,0.6848297900814144,0.6848358361734842,6.04609206977802e-6,0.009049095878737354
put,30,0.02,0.85,0.9,13.036005027931726,13.03599586701935,9.160912375349994e-6,0.024521145108961136
put,30,0.02,0.85,1.0,4.137380526621864,4.137351768769742,2.8757852121863436e-5,0.026028397884091486
put,30,0.02,0.85,1.1,0.6940507516487925,0.6940627121925574,1.1960543764955034e-5,0.017904664599357425
put,91,0.005,0.25,0.9,12.813487774134028,12.813483232587632,4.541546395842033e-6,0.0028269000808325414
put,91,0.005,0.25,1.0,5.377796719803568,5.377700515294205,9.620450936331792e-5,0.04880880414847902
put,91,0.005,0.25,1.1,1.859394197987727,1.8593173359145072,7.686207321988547e-5,0.052863922639964596
put,91,0.005,0.6,0.9,12.746495617763577,12.74647740058964,1.8217173936463382e-5,0.011338222173590626
put,91,0.005,0.6,1.0,5.3779059046853295,5.377812624051187,9.328063414226762e-5,0.047325190251908504
put,91,0.005,0.6,1.1,1.8658953677871821,1.865821774682922,7.359310426013899e-5,0.05061969682449629
put,91,0.005,0.85,0.9,12.650780939275656,12.650748250668157,3.2688607499054e-5,0.020343699951264997
put,91,0.005,0.85,1.0,5.353111654094605,5.353018859390798,9.279470380718635e-5,0.04707851424711342
put,91,0.005,0.85,1.1,1.8649056914746003,1.864838378727663,6.731274693727585e-5,0.04630253300631592
put,91,0.01,0.25,0.9,13.204400623892422,13.204397571848673,3.052043748397182e-6,0.001955589856450019
put,91,0.01,0.25,1.0,5.622149337663034,5.622056231626304,9.310603673018392e-5,0.047325707137716805
put,91,0.01,0.25,1.1,1.9767804525323551,1.976707610985978,7.284154637710039e-5,0.048978033460987926
put,91,0.01,0.6,0.9,13.137277023098587,13.137262175963896,1.4847134691464703e-5,0.00951129904739005
put,91,0.01,0.6,1.0,5.630118131235099,5.630031493581892,8.663765320715555e-5,0.04403705837652534
