case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.3,0.2493150684931507,1.3384494402048668,1.3384494290781852,1.1126681576101305e-8,8.58250398120254e-6
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.3,0.2493150684931507,1.4652845232493008,1.4652845178009635,5.4483373368441335e-9,4.017495919790893e-6
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.6,0.2493150684931507,5.976700045317311,5.976700135123178,-8.980586674312008e-8,4.869717744014286e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.6,0.2493150684931507,6.121238362979925,6.121238456452204,-9.347227880596165e-8,5.036207967683363e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.6,0.2493150684931507,6.3424697661034,6.34246986492203,-9.881863061167451e-8,5.276158675319669e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.6,0.2493150684931507,6.569030480005773,6.569030583974772,-1.039689996318316e-7,5.504422533781233e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.15,1.0,1.1513096048547515,1.1513095849938022,1.9860949329597588e-8,8.278023321270738e-6
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.15,1.0,1.4718370037616555,1.4718369985006632,5.2609923084645516e-9,1.934010896126983e-6
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.15,1.0,2.0775351705005574,2.0775351896328296,-1.913227221095326e-8,6.0232542398906925e-6
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.15,1.0,2.8528086909234207,2.8528087340861106,-4.3162689866704795e-8,1.2112068511424683e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.3,1.0,5.991891652313178,5.991891742420016,-9.010683754695492e-8,2.438761922615395e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.3,1.0,6.586269656838252,6.586269761114515,-1.0427626317977001e-7,2.7556272953541387e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.3,1.0,7.549482810415736,7.549482933081677,-1.2266594140442066e-7,3.153647701505198e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.3,1.0,8.599100920890344,8.599101057777922,-1.3688757860563783e-7,3.458201759693429e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.6,1.0,17.745026723715515,17.745026991965787,-2.6825027177324046e-7,6.726891631281239e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.6,1.0,18.41992901058139,18.419929284735097,-2.741537059591792e-7,6.885435754889399e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.6,1.0,19.456395805029665,19.456396085878076,-2.8084841119380144e-7,7.08449069266851e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.6,1.0,20.520798465838695,20.52079875075907,-2.849203752930407e-7,7.236778163209978e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.15,2.0,2.925258983801255,2.9252590083608894,-2.4559634326237756e-8,5.412552200043563e-6
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.15,2.0,3.9330450039085108,3.933045061170475,-5.72619640593075e-8,1.134264629447709e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.15,2.0,5.8681512028802665,5.868151297742251,-9.486198493391385e-8,1.711572279944846e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.15,2.0,8.33214345906761,8.332143566624303,-1.0755669421769198e-7,1.9148683793707028e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.3,2.0,10.760189919774456,10.760190091601999,-1.7182754241673592e-7,3.0903810183053816e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.3,2.0,12.106218186840495,12.106218377354168,-1.9051367239342198e-7,3.38670057800022e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.3,2.0,14.300840037276117,14.300840244203997,-2.0692787927600875e-7,3.675403356938108e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.3,2.0,16.69496891711872,16.694969125736513,-2.0861779148617643e-7,3.777100856181937e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.6,2.0,27.55275444071239,27.552754813536573,-3.728241821931988e-7,6.789546740974578e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.6,2.0,28.82970851790911,28.82970889428872,-3.763796101452499e-7,6.937612919050434e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.6,2.0,30.783615876497635,30.783616252230487,-3.75732852830879e-7,7.081799218373312e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.6,2.0,32.77814839015692,32.77814875842109,-3.68264167605048e-7,7.133059364916959e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.15,0.0821917808219178,1.7154657476086848,1.7154657696000655,-2.1991380716457343e-8,1.923218507381641e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.15,0.0821917808219178,1.79743313028651,1.7974331522027711,-2.191626102820976e-8,1.9196269743584308e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.15,0.0821917808219178,1.9248158165787643,1.92481583819972,-2.162095569246958e-8,1.9033843099511834e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.15,0.0821917808219178,2.057478181755287,2.0574782028119074,-2.1056620447268415e-8,1.8692582375254605e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.3,0.0821917808219178,3.430138599953588,3.4301386438779957,-4.392440766665118e-8,3.843998648748297e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.3,0.0821917808219178,3.510071476675602,3.510071520547079,-4.387147711781836e-8,3.843225322808556e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.3,0.0821917808219178,3.632067140772292,3.6320671844517847,-4.367949246741887e-8,3.834802943423923e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.3,0.0821917808219178,3.756567275569846,3.756567318930273,-4.3360426804639474e-8,3.8182806769672343e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.6,0.0821917808219178,6.853940630839455,6.853940718253547,-8.741409196488803e-8,7.67120315606335e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.6,0.0821917808219178,6.930748081101644,6.930748168437475,-8.733583101161457e-8,7.67098751391516e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.6,0.0821917808219178,7.046891019824875,7.046891106997144,-8.717226940291312e-8,7.66790483827845e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.6,0.0821917808219178,7.164147771812839,7.164147858744805,-8.693196562603589e-8,7.659609754639533e-5
